section,course_title,course_code,program,department,college,institution,academic_year,semester,course_instructor,course_coordinator,number_of_sections,location,report_date,student_id,student_name,final_grade,letter_grade,status
1,Introduction to Anatomy,ANAT101,Medicine,Basic Medical Sciences,Batterjee Medical College,Batterjee Medical College,2024-2025,First,Dr. Ahmed Al-Zahrani,Dr. Sara Al-Ghamdi,3,Main Campus,,20240001,Ali Hassan,95,A+,Pass
1,Introduction to Anatomy,ANAT101,Medicine,Basic Medical Sciences,Batterjee Medical College,Batterjee Medical College,2024-2025,First,Dr. Ahmed Al-Zahrani,Dr. Sara Al-Ghamdi,3,Main Campus,,20240002,Mohammed Saleh,88,A,Pass
1,Introduction to Anatomy,ANAT101,Medicine,Basic Medical Sciences,Batterjee Medical College,Batterjee Medical College,2024-2025,First,Dr. Ahmed Al-Zahrani,Dr. Sara Al-Ghamdi,3,Main Campus,,20240003,Sara Abdullah,85,B+,Pass
1,Introduction to Anatomy,ANAT101,Medicine,Basic Medical Sciences,Batterjee Medical College,Batterjee Medical College,2024-2025,First,Dr. Ahmed Al-Zahrani,Dr. Sara Al-Ghamdi,3,Main Campus,,20240004,Fatima Omar,79,B,Pass
2,Introduction to Anatomy,ANAT101,Medicine,Basic Medical Sciences,Batterjee Medical College,Batterjee Medical College,2024-2025,First,Dr. Ahmed Al-Zahrani,Dr. Sara Al-Ghamdi,3,Main Campus,,20240005,Khalid Nasser,73,C+,Pass
2,Introduction to Anatomy,ANAT101,Medicine,Basic Medical Sciences,Batterjee Medical College,Batterjee Medical College,2024-2025,First,Dr. Ahmed Al-Zahrani,Dr. Sara Al-Ghamdi,3,Main Campus,,20240006,Nora Faisal,67,C,Pass
2,Introduction to Anatomy,ANAT101,Medicine,Basic Medical Sciences,Batterjee Medical College,Batterjee Medical College,2024-2025,First,Dr. Ahmed Al-Zahrani,Dr. Sara Al-Ghamdi,3,Main Campus,,20240007,Yasser Ibrahim,92,A+,Pass
3,Introduction to Anatomy,ANAT101,Medicine,Basic Medical Sciences,Batterjee Medical College,Batterjee Medical College,2024-2025,First,Dr. Ahmed Al-Zahrani,Dr. Sara Al-Ghamdi,3,Main Campus,,20240008,Reem Khalid,60,D+,Pass
3,Introduction to Anatomy,ANAT101,Medicine,Basic Medical Sciences,Batterjee Medical College,Batterjee Medical College,2024-2025,First,Dr. Ahmed Al-Zahrani,Dr. Sara Al-Ghamdi,3,Main Campus,,20240009,Omar Saad,54,D,Pass
3,Introduction to Anatomy,ANAT101,Medicine,Basic Medical Sciences,Batterjee Medical College,Batterjee Medical College,2024-2025,First,Dr. Ahmed Al-Zahrani,Dr. Sara Al-Ghamdi,3,Main Campus,,20240010,Hana Turki,40,F,Fail
3,Introduction to Anatomy,ANAT101,Medicine,Basic Medical Sciences,Batterjee Medical College,Batterjee Medical College,2024-2025,First,Dr. Ahmed Al-Zahrani,Dr. Sara Al-Ghamdi,3,Main Campus,,20240011,Lama Qurashi,96,A+,Pass
1,Introduction to Anatomy,ANAT101,Medicine,Basic Medical Sciences,Batterjee Medical College,Batterjee Medical College,2024-2025,First,Dr. Ahmed Al-Zahrani,Dr. Sara Al-Ghamdi,3,Main Campus,,20240012,Tariq Mansour,83,B+,Pass
2,Introduction to Anatomy,ANAT101,Medicine,Basic Medical Sciences,Batterjee Medical College,Batterjee Medical College,2024-2025,First,Dr. Ahmed Al-Zahrani,Dr. Sara Al-Ghamdi,3,Main Campus,,20240013,Dana Aljohani,71,C+,Pass
3,Introduction to Anatomy,ANAT101,Medicine,Basic Medical Sciences,Batterjee Medical College,Batterjee Medical College,2024-2025,First,Dr. Ahmed Al-Zahrani,Dr. Sara Al-Ghamdi,3,Main Campus,,20240014,Faris Albishi,48,F,Fail
1,Introduction to Anatomy,ANAT101,Medicine,Basic Medical Sciences,Batterjee Medical College,Batterjee Medical College,2024-2025,First,Dr. Ahmed Al-Zahrani,Dr. Sara Al-Ghamdi,3,Main Campus,,20240015,Rawan Alharbi,77,B,Pass
1,Human Physiology,PHYS201,Medicine,Basic Medical Sciences,Batterjee Medical College,Batterjee Medical College,2024-2025,First,Dr. Mona Al-Rashidi,Dr. Khalid Al-Otaibi,2,Main Campus,,20240101,Saud Alqahtani,91,A+,Pass
